Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;
1713;1354;888;313886.9067;5690770.54839999;Wilhelm Neugebauer;Neugebauer, Wilhelm;538a;261 vielmehr 284;;20;Hebelstraße;;Lindenau;Schriftgießerei;Satzherstellung;Hebelstraße;20;04177;438a;7;Alt-West;71;Altlindenau;
1714;1153;889;317581.719;5690076.5;J. G. Schelter & Giesecke;J. G. Schelter & Giesecke, Inh.: Georg Giesecke u. Dr. Walter Giesecke;1165;538;;26/28;Brüderstraße;;Alt-Leipzig;Chemitypie-Anstalt;Graphische Anstalt;Brüderstraße;0;04103;1170/7;0;Mitte;2;Zentrum-Südost;
1715;1153;889;317581.719;5690076.5;J. G. Schelter & Giesecke;J. G. Schelter & Giesecke, Inh.: Georg Giesecke u. Dr. Walter Giesecke;1165;538;;26/28;Brüderstraße;;Alt-Leipzig;Zinkätzerei;Zuliefer- und Hilfsgewerbe;Brüderstraße;0;04103;1170/7;0;Mitte;2;Zentrum-Südost;
1716;1153;889;317581.719;5690076.5;J. G. Schelter & Giesecke;J. G. Schelter & Giesecke, Inh.: Georg Giesecke u. Dr. Walter Giesecke;1165;538;;26/28;Brüderstraße;;Alt-Leipzig;Buchdruckmaterial;Zuliefer- und Hilfsgewerbe;Brüderstraße;0;04103;1170/7;0;Mitte;2;Zentrum-Südost;
1717;1153;889;317581.719;5690076.5;J. G. Schelter & Giesecke;J. G. Schelter & Giesecke, Inh.: Georg Giesecke u. Dr. Walter Giesecke;1165;538;;26/28;Brüderstraße;;Alt-Leipzig;Schriftgießerei;Satzherstellung;Brüderstraße;0;04103;1170/7;0;Mitte;2;Zentrum-Südost;
1718;1153;1259;313954.6424;5689226.1661;J. G. Schelter & Giesecke;J. G. Schelter & Giesecke, Inh.: Georg Giesecke u. Dr. Walter Giesecke;454/302m;139;;4;Wachsmuthstraße;Nr 1/3 u. 2-6 Plagwitz;Plagwitz;Maschinenfabrik für Buchdruckmaschinen;Polygraphischer Maschinenbau;Wachsmuthstraße;4;04229;454;5;Südwest;51;Plagwitz;
1719;1358;890;317913.17899999896;5690537.57899999;Paul Pürst;Pürst, Paul;1446;799;;14;Johannisplatz;;Alt-Leipzig;Schriftschneiderei;Satzherstellung;Johannisplatz;14;04103;1446;0;Mitte;2;Zentrum-Südost;
1720;1359;891;319059.9389;5689693.3538;Gebr. Nens;Nens, Gebr., Inh.: Otto u. Wilh. Nens;308c;92;;3;Viktoriastraße;;Reudnitz;Justieranstalt für Schriftgießerei;Satzherstellung;Viktoriastraße;1;04317;308c;3;Südost;30;Reudnitz-Thonberg;
1721;1360;892;317133.49149999896;5687008.467;Wilhelm Riese;Riese, Wilhelm;225;241B;;29;Meusdorfer Straße;1 - Zufahrt Südfriedhof und 2 - Zufahrt Südfriedhof;Connewitz;Schrift-Justieranstalt;Satzherstellung;Meusdorfer Straße;25;04277;225/1;4;Süd;41;Connewitz;
1722;1364;894;319250.614;5691121.762999999;Fritz Tutzschke;Tutzschke, Fritz;37;111;;50;Rabet;15 - 47 und 28 - 60;Volkmarsdorf;Zinkdruckplatten;Zuliefer- und Hilfsgewerbe;Rabet;52/54;04315;37/4 und 37/5;2;Ost;20;Neustadt-Neuschönefeld;
1723;1143;895;318019.36699999997;5693207.187999999;Paul Buchheim;Buchheim, Paul;278;242C;;33;Wittenberger Straße;27 - 91 und 12 - 62;Eutritzsch;Chemigraphische Anstalt;Graphische Anstalt;Wittenberger Straße;0;04129;278;9;Nord;93;Eutritzsch;
1724;1367;896;313601.0827;5689781.53949999;Gebrüder Brehmer;Gebrüder Brehmer, Inh.: Friedr. Rehwoldt;286a;39;;111;Karl-Heine-Straße;1 - 111 und 2 - 38;Plagwitz;Maschinenfabrik;Polygraphischer Maschinenbau;Karl-Heine-Straße;111;04229;751/2;5;Südwest;51;Plagwitz;
1725;1368;897;320367.8092;5691646.9057;Buchbinderei- u. Kartonagen-Maschinenbau-Gesellschaft m.b.H.;Buchbinderei- u. Kartonagen-Maschinenbau-Gesellschaft m.b.H.;297d;73G1;;63;Paunsdorfer Straße;;Sellerhausen;Buchbinderei- u. Kartonagen-Maschinenfabrik;Polygraphischer Maschinenbau;Torgauer Straße;80;04315;297d;2;Ost;21;Volkmarsdorf;
1726;1369;898;316485.444299999;5694336.83789999;Dammann, Wilhelm;Wilhelm Dammann;860;2;;87;Breitenfelder Straße;;Gohlis;Pantographenfabrik;Polygraphischer Maschinenbau;Breitenfelder Straße;87;04157;860;9;Nord;91;Gohlis-Mitte;
1727;1370;899;313662.041;5690345.877;Deutsche Maschinen- und Papier-Industrie-Werke G.m.b.H.;Deutsche Maschinen- und Papier-Industrie-Werke G.m.b.H.;634d;853;;93/95;Lützner Straße;;Lindenau;Papiermaschinen;Polygraphischer Maschinenbau;Lützner Straße;93/95;04177;634d;7;Alt-West;70;Lindenau;
1728;1371;900;318759.30600000004;5691322.76;Dietz & Listing;Dietz & Listing;615a;112A;;7/13;Konstantinstraße;Nr. 1-21 u. 2-18;Reudnitz;Maschinenfabrik für Buchbinderei;Polygraphischer Maschinenbau;Konstantinstraße;0;04315;615/8 und 615/9;2;Ost;20;Neustadt-Neuschönefeld;
1729;1372;901;313763.92169999896;5690884.87189999;A. Flaskämper;A. Flaskämper, Inh.: Ed. Weingärtner;676c;767B;;73;Albertinerstraße;;Lindenau;Liniiermaschinenfabrik;Polygraphischer Maschinenbau;Erich-Köhn-Straße;73;04177;676c;7;Alt-West;71;Altlindenau;
1730;1373;902;316814.425;5691399.948;Förste & Tromm;Förste & Tromm, Inh.: Herm. Tromm;2019;1388;;2;Ranstädter Steinweg;;Alt-Leipzig;Liniiermaschinen;Polygraphischer Maschinenbau;Ranstädter Steinweg;0;04109;2019;0;Mitte;5;Zentrum-Nordwest;
1731;1374;903;318517.609;5691433.092;August Fomm;August Fomm;612/610;118B/116/117;;5-9;Kohlgartenstraße;1 - 71 und 16 - 58;Reudnitz;Fabrik moderner Buchbinderei-Maschinen;Polygraphischer Maschinenbau;Kohlgartenstraße;0;04315;610/1 und 610/2;2;Ost;20;Neustadt-Neuschönefeld;
1732;1374;1152;318552.2672;5691484.2043;August Fomm;August Fomm;610;116;;4;Lutherstraße;;Reudnitz;Fabrik moderner Buchbinderei-Maschinen;Polygraphischer Maschinenbau;Lutherstraße;4;04315;610/2;2;Ost;20;Neustadt-Neuschönefeld;
1733;1375;904;314275.126199999;5690428.79849999;K. Gebler;K. Gebler, Maschinenfabrik;98b;186B;;13;Josephstraße;;Lindenau;Maschinenfabrik, Spez. Buchbinderei- und Kartonagen-Maschinen;Polygraphischer Maschinenbau;Josephstraße;13;04177;98/1;7;Alt-West;70;Lindenau;
1734;1376;906;320095.0617;5688799.6455;Herfurth & Heyden;Herfurth & Heyden, Drahtheftmaschinen G.m.b.H.;391;279;;18;Weißestraße;;Stötteritz;Drahtheftmaschinenfabrik;Polygraphischer Maschinenbau;Weißestraße;18;04299;39l;3;Südost;31;Stötteritz;
1735;1752;906;320095.0617;5688799.6455;Bruno Geyer;Geyer, Bruno;391;279;;18;Weißestraße;;Stötteritz;Präge-Anstalt;Graphische Anstalt;Weißestraße;18;04299;39l;3;Südost;31;Stötteritz;
1736;1377;907;318114.591;5691478.552;A. Hogenforst;A. Hogenforst, Inh.: Max Polter;1840a/1839/1838;1178/1177B/1177;;1-5;Friedrich-List-Straße;;Alt-Leipzig;Maschinenfabrik f. d. ges. Buchdruckindustrie;Polygraphischer Maschinenbau;Dohnanyistraße;0;04103;1840/1 und 1838/1;0;Mitte;1;Zentrum-Ost;
1737;1378;908;317441.5866;5689002.6749;O. Hoppe & Co. Nachf.;O. Hoppe & Co. Nachf.;2518t;295G;;68;Arndtstraße;;Alt-Leipzig;Maschinefabrik;Polygraphischer Maschinenbau;Arndtstraße;68;04275;3854;4;Süd;40;Südvorstadt;
1738;1379;909;323003.742;5691307.454;Emil Kahle;Emil Kahle, Inh. Emil Kahle u. Dr. Otto Simon;;182;;;Riesaer Straße;Paunsdorf;Paunsdorf;Maschinenfabrik für das graphische Gewerbe;Polygraphischer Maschinenbau;Riesaer Straße;0;04328;;2;Ost;24;Paunsdorf;
1739;1380;910;318700.1605;5691534.0818;Kleim & Ungerer;Kleim & Ungerer;;;;13;Eisenbahnstraße;;Leutzsch;Automatische Bogenanlegeapparate;Polygraphischer Maschinenbau;Eisenbahnstraße;13;04315;1k;2;Ost;20;Neustadt-Neuschönefeld;
1740;1381;911;314272.833;5690229.297;Kohlbach & Co. G.m.b.H.;Kohlbach & Co. G.m.b.H.;158/159;134/133;;20/22;Aurelienstraße;;Lindenau;Maschinenfabrik;Polygraphischer Maschinenbau;Aurelienstraße;0;04177;158/159;7;Alt-West;70;Lindenau;
