Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
287;38;182.0;318246.353;5691542.449;L. Sieke & Co., Großbuchbinderei G.m.b.H.;L. Sieke & Co., Großbuchbinderei G.m.b.H., Geschäftsf.: Ludwig Sieke u. Carl Rötzschke;1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Großbuchbinderei;Buchbinderhandwerk;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
288;962;182.0;318246.353;5691542.449;Fr. Richter;Fr. Richter, G.m.b.H.;1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Buchdruckerei, Drei- u. Vierfarbendrucke;Druckerei und Buchhandel;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
289;963;182.0;318246.353;5691542.449;R. Wötzel;Wötzel, R.;1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
290;1412;182.0;318246.353;5691542.449;Finckh & Co.;Finckh & Co., Inh.: Max Georg Hoffmann (Eibau);1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
291;1412;182.0;318246.353;5691542.449;Finckh & Co.;Finckh & Co., Inh.: Max Georg Hoffmann (Eibau);1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Kunstanstalt;Graphische Anstalt;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
292;1412;182.0;318246.353;5691542.449;Finckh & Co.;Finckh & Co., Inh.: Max Georg Hoffmann (Eibau);1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Papierverarbeitungswerk;Papierhandlung/Papierherstellung;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
293;1914;182.0;318246.353;5691542.449;Solnhofer Lithographiesteinbrüche G.m.b.H.;Solnhofer Lithographiesteinbrüche G.m.b.H.;1830/1832/1838;1168/1169B/1170;Industrie-Palast;11/13/15/17/19;Friedrich-List-Straße;;Alt-Leipzig;Lithographiesteine;Zuliefer- und Hilfsgewerbe;Dohnanyistraße;11/13/15;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
294;1113;183.0;317862.872;5690231.414;F. Harz;Harz, F.;1295;573;;6;Friedrichstraße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;--;0;4103.0;4796;0.0;Mitte;2.0;Zentrum-Südost;
295;295;184.0;314642.06;5690027.949;M. Greiner;Greiner, M.;153;134;;8;Fröbelstraße;;Plagwitz;Reisebuchhandlung;Buchhandel und Verlagswesen;Rudolph-Sack-Straße;0;4229.0;153;5.0;Südwest;51.0;Plagwitz;
296;296;184.0;314642.06;5690027.949;Bormann & Greiner;Bormann & Greiner, Inh.: Hans Moritz Greiner;153;134;;8;Fröbelstraße;;Plagwitz;Reisebuchhandlung;Buchhandel und Verlagswesen;Rudolph-Sack-Straße;0;4229.0;153;5.0;Südwest;51.0;Plagwitz;
