Id;Firma;idn
235;Baumbach'sche Dampfbuchbinderei;[]
236;J. F. Bösenberg G.m.b.H.;[]
237;Politischer Verlag, Emil Spieler;[]
238;Gustav H. Glißmann;[]
239;Deutsche Verlagsdruckerei Felix Merseburger;['1055972005', '1072982242']
240;Hermann Hönnicke;[]
241;Grosso- und Kommissionshaus deutscher Buch- und Zeitschriftenhändler e.G.m.b.H.;[]
242;Max Orlin;['5553334-6']
243;Richard Heise;[]
244;Verlag der modernen kaufmännische Bibliothek, vormals Dr. jur. Ludwig Huberti, G.m.b.H.;[]
245;E. Haberland;['3051772-2']
246;Erdgeist-Verlag C. W. Mamsch & Co.;[]
247;Karl Franke Nachf.;[]
248;Arthur Schmidt;[]
249;O. Müller;[]
250;Friedr. Bach;[]
251;F. Ernst;[]
252;Leipziger Kunstdruckerei, Inh. Nicolaus Leff;[]
253;Louise Dietsch;[]
254;Herm. Held;[]
255;Herm. Held;[]
256;A. Zöllner;[]
257;Verlag der Zeitschrift für Drechsler, Elfenbeingraveure u. Holzbildhauer (Leipziger Deutsche Drechslerzeitung) E. A. Martin;[]
258;Max Voerkel's Verlag;[]
259;Pagel & Co.;[]
260;St. Antonius-Buchhandlung E. Gutberlet & Co.;[]
261;M. Gutberlet Verlag, G.m.b.H.;[]
262;Geißler & Wunder;[]
263;W. Mähler;[]
264;Gebr. Zschocke;[]
265;Nitzschke's Verlag;[]
266;Ph. Hülsemann;[]
267;Ludwig Bauer;[]
268;Jüstel & Göttel;[]
269;Jüstel & Göttel;[]
270;Lithogr. Anstalt Bruno Bürger & Ottillie, G.m.b.H.;[]
271;Vereinigter Mode-Journal-Verlag Jüstel & Göttel;[]
272;E. Vogt;[]
273;W. Malende;['1073057607']
274;C. F. Müller Verlag;[]
275;Arbeiter-Turnverlag Backhaus & Diettrich;[]
276;Ferdinand Grundmann (vorm. Trommer & Grundmann);[]
277;Ferdinand Grundmann (vorm. Trommer & Grundmann);[]
278;Louis Kuhne;[]
279;Ernst Fiedler;[]
280;Julius Jeron;[]
281;Arthur Marquardt, Verlag;[]
282;P. E. Lindner;[]
283;Friedrich Zahn;[]
284;Paul F. Weber;[]
285;Carl Leistner;[]
286;Herm. Hofmann;[]
287;L. Sieke & Co., Großbuchbinderei G.m.b.H.;[]
288;Fr. Richter;['1072934221', '1073009254', '10045336-3']
289;R. Wötzel;[]
290;Finckh & Co.;[]
291;Finckh & Co.;[]
292;Finckh & Co.;[]
293;Solnhofer Lithographiesteinbrüche G.m.b.H.;[]
294;F. Harz;[]
295;M. Greiner;['1072976358']
296;Bormann & Greiner;[]
297;Otto Tobies;[]
298;E. F. Steinacker;[]
299;Eduard Heinrich Mayer;['1072992043']
300;Historisch Politischer Verlag Rudolf Hofstetter;[]
301;C. L. Hirschfeld;[]
302;A. Hartleben;['1072911558', '1072911124']
303;Adolph Fürstner;['107298122X']
304;Rost, Senf & Co.;[]
305;Roßberg'sche Verlagsbuchhandlung, Arthur Roßberg;['1073011682']
306;Roßberg'sche Buchdruckerei;['1072959283']
307;Gustav Wießner;[]
308;Gustav Wießner;[]
309;Fr. Adam Seidel;['1073006255']
310;C. Otto Schmidt;[]
311;Reichenbach'sche Verlagsbuchhandlung Hans Wehner;[]
312;Rudolf Kober;[]
313;Gebr. Hoffmann;['1700745-8']
314;F. Stoll jr.;[]
315;F. Stoll jr.;[]
316;Carl Schremmel;[]
317;Rudolf Schick & Co.;[]
318;Helios-Verlag Franz A. Wolfson;[]
319;A. Franke;[]
320;Hermann Kirstein & Co.;[]
321;Hermann Kirstein & Co.;[]
322;Hermann Kirstein & Co.;[]
323;Eduard Liesegang's Verlag (M. Eger);[]
324;Oswald Schmidt;['1073016773', '5556142-1']
325;Otto Wendt;[]
326;Scherz & Herrmann;[]
327;Scherz & Herrmann;[]
328;Th. Lappert;[]
329;Loew & Weimann;[]
330;E. Twietmeyer;['1073090388']
331;A. Twietmeyer;['5331212-0']
332;Max Rübe;['1072989506']
333;Julius Süß jun.;[]
334;H. H. Ullstein;[]
335;Ernst Rudolph Müller;[]
336;August Hoffmann;['1072924358']
337;W. Vobach & Co.;[]
338;W. Vobach & Co.;[]
339;Vereinigter Leipziger Bahnhofsbuchhandel;[]
340;L. Gast;[]
341;Buchdruckerei Vogel & Vogel G.m.b.H.;[]
342;Reinhold Pfalz;[]
343;J. Rieter-Biedermann;['1072957655', '5245600-6']
344;Modern-Medizinischer Verlag F. W. Gloeckner & Co.;[]
345;Ernst'sche Verlagsbuchhandlung;['1072894149']
346;Richard Förster;[]
347;C. G. Röder, G.m.b.H;[]
348;C. G. Röder, G.m.b.H;[]
349;C. G. Röder, G.m.b.H;[]
350;C. G. Röder, G.m.b.H;[]
351;C. G. Röder, G.m.b.H;[]
352;Johs. Mägerlein;[]
353;Hugo Herm. Mattner Verlag;[]
354;Fr. Andrä's Nachf. (M. Dietrich);[]
355;Emil Ehrhardt;[]
356;Rudolf Gerstäcker;['107297780X']
357;Manicke & Co.;[]
358;Albert Neitsch, Schriftgießerei u. mech. Werkstätte;[]
359;Ottosche Buchhandlung;['1028589913']
360;Webels Verlag Ludwig Helmreich;[]
361;Teutonia-Verlag Karl R. Vogelsberg G.m.b.H.;[]
362;Walter Möschke;['1028969155']
363;R. Felix;[]
364;Friedrich Engelmann;[]
365;Oskar Born;[]
366;K. R. Vogelsberg;[]
367;Otto Zehrfeld, Buchhandlung für Auslandsdeutsche;[]
368;Ernst Schauer, Colorir-Kunst-Anstalt;[]
369;Trutter & Schmidt;[]
370;Spinner & Weber, Hausdorff & Co.;[]
371;Oswald Spohr;['3051627-4']
372;Paul Seidel;[]
373;Emil Poppe;[]
374;Emil Poppe;[]
375;G. Müller-Mann'sche Verlagsbuchhandlung (R. Frensch);[]
376;Leo Wender;[]
377;Geographischer Verlag G.m.b.H.;[]
378;Wilhelm Strübig;['1073080676']
379;Sturm-Verlag;[]
380;Graß & Herrmann;[]
381;H. Kollmann;[]
382;Max Beck Verlag;['16119483-7']
383;Dr. F. Poppe;[]
384;Dr. F. Poppe;[]
385;Koenig & Bauer, Schnellpressenfabrik G.m.b.H., Würzburg;[]
386;P. Zürner;[]
387;Oscar Fürstenau;['1073066851']
388;Oscar Fürstenau;['1073066851']
389;Kunstanstalt Grimme & Hempel, A.G. i. Liqu.;[]
390;Dr. Paul Abel;[]
391;L. Wehrde, Jost's Kunst- u. Altertumsgesch.;[]
392;Heinrich Brandt;['1072954168']
393;Auslaender & Kühr;[]
394;Deutsches Druck- & Verlagshaus, G.m.b.H.;[]
395;E. Füge;[]
396;W. Schröder;[]
397;P. Frenkel;[]
398;Rauh & Pohle;[]
399;Hermann Schneider;[]
400;C. M. Böhnisch;[]
401;P. Hesse;[]
402;A. Bergmann;['1073073408', '1072977508', '1073005666']
403;Emil Herrmann senior;['16015553-8']
404;Friedr. Joh. Kleemeier;[]
405;Geschäftsstelle des Deutschen Verlegervereins;[]
406;J. B. Hirschfeld;[]
407;J. B. Hirschfeld;[]
408;August Müller;['1073067122']
409;August Müller;['1073067122']
410;August Müller;['1073067122']
411;Schmidt & Busch;[]
412;Schmidt & Busch;[]
413;M. Wassermann;[]
414;Friedr. Taschenberger;[]
415;W. Harry Möller's Verlag für Rechts- und Staatswissenschaften;[]
416;Reklame-Union, Druckerei und Verlagsgesellschaft m.b.H.;[]
417;Reklame-Union, Druckerei und Verlagsgesellschaft m.b.H.;[]
418;Schmidt & Stahn;[]
419;Schindler & Co.;[]
420;Heinrich J. Naumann;[]
421;Erich Bretschneider;[]
422;Paul Beyer;['1025747747']
423;Artur Zwanziger;[]
424;Formular-Verlag Neufriedstein;[]
425;Otto Ortleb;[]
426;R. Klare;[]
427;Anastasius Eisfelder;[]
428;R. Pfeifer;[]
429;Hugo P. Lange;[]
430;W. Schulz;[]
431;D. Seifert;[]
432;G. Sinhuber;['1073000524']
433;Metzger & Wittig;[]
434;Metzger & Wittig;[]
435;Metzger & Wittig;[]
436;Metzger & Wittig;[]
437;G. A. Dittmann;[]
438;Franz Haselbauer;[]
439;Deutscher Kulturverlag, G.m.b.H. in Liquid.;[]
440;Gelatinier-Anstalt Karl Naake G.m.b.H.;[]
441;Adolf Jäger Buchhandlung;[]
442;A. Köllner;['1072953234']
443;Hermann Springer;['1073066215']
444;Hermann Springer;['1073066215']
445;Hermann Springer;['1073066215']
446;Hermann Springer;['1073066215']
447;F. A. Schüßler;[]
448;F. A. Schüßler;[]
449;F. A. Schüßler;[]
450;O. Nagel;[]
451;O. Nagel;[]
452;Gustav Körner;['1072957868']
453;L. Peukert;[]
454;Hoffmann & Ohnstein;[]
455;Föste, Lüddecke & Co. Buchbinderei m.b.H.;[]
456;Raumer & Braun;[]
457;R. Voigtländer's Verlag;['5157868-2']
458;F. Volckmar;['74769-5']
459;Union Deutsche Verlagsgesellschaft;['1072922428', '1072901994', '5331226-0']
460;L. Staackmann;['35740-6', '1500109-X', '4623557-7']
461;Dr. Max Jänecke Verlagsbuchhandlung;[]
462;Deutsche Bibelgesellschaft, G.m.b.H.;[]
463;Carl Cnobloch;['1072982579', '6033233-5', '16209610-0']
464;C. F. Amelang's Verlag;[]
465;Hugo Schmidt Verlag;[]
466;F. Volckmar;['74769-5']
467;Union Deutsche Verlagsgesellschaft;['1072922428', '1072901994', '5331226-0']
468;Dampfbuchbinderei vorm. F. A. Barthel;[]
469;Verlag Die Tat G.m.b.H.;[]
470;Fritz Eckardt Verlag, G.m.b.H.;[]
471;Renger'sche Buchhandlung, Gebhardt & Wilisch;[]
472;Daheim-Expedition (Velhagen & Klasing);[]
473;H. A. Ludwig Degener;[]
474;Degener & Co., Zeitschriftenverlagsgesellschaft m.b.H.;[]
475;Rosenthal'sche Verlagsbuchhandlung, M. E. Rosenthal;[]
476;Reinhold Fröbel, Literarisches Bureau u. Verlagshandlung;[]
477;Rosenthal'sche Verlagsbuchhandlung, M. E. Rosenthal;[]
478;Albrecht Pieszczek & Co.;[]
479;Dieterich'sche Verlagsbuchhdlg., Theodor Weicher;[]
480;Moritz Ruhl;['107300743X', '1072957396']
481;Moritz Ruhl;['107300743X', '1072957396']
482;H. Carl Brüning G.m.b.H.;[]
483;Knieste & Pick;[]
484;Hartmann & Wolf;[]
485;Thalacker & Schöffer;[]
486;H. Deutschmann;[]
487;Gustav Weigel;[]
488;T. Fisher Unwin;[]
489;K. L. Ricker;[]
490;Richter's Verlags-Anstalt;['1072962497']
491;Fr. Ludw. Herbig;[]
492;Haupt & Hammon, Verlagsbuchhandlung;[]
493;Grunow & Co.;[]
494;Richard Lesser Nachf.;[]
495;Mittelbach's Verlag;['1072886006']
496;Pallas-Verlag Wilhelm Rudeck;[]
497;Philipp Reclam jun.;[]
498;Philipp Reclam jun.;[]
499;Gustav Kirchhof;['1052821871']
500;Richard Jericke;[]
501;Richard Jericke;[]
502;Fischer & Wittig;[]
503;Alfred Hahn's Verlag;['1080838171']
504;A. Müller, Fröbelhaus-Dresden;[]
505;G. Kürsten's Verlag;[]
506;Fischer & Kürsten;[]
507;Leipziger Tageblatt;['108879386X']
508;E. Polz, Verlag d. Leipziger Tageblatt;[]
509;F. A. Heller;[]
510;Hofmann & Fohl;[]
511;F. A. Neumann;[]
512;Ferdinand Peter Nachf.;[]
513;Dietze & Nens;[]
514;Curt Wanschura;[]
515;Börner, Carl;[]
516;Otto Haase (vorm. Th. Haase);[]
517;Otto Haase (vorm. Th. Haase);[]
518;Ficker's Verlag;[]
519;Albrecht Donath;[]
520;F. Franke;[]
521;A. Lehnert;[]
522;Cosmos, Verlag für Kunst u. Wissenschaft, Max Junghändel & Co. Nachf.;[]
523;Emil Singer;[]
524;Emil Singer;[]
525;Walter Reuter;[]
526;Wilhelm Thömsgen;[]
527;Bereiter & Meißner;[]
528;W. Härtel & Co. Nachf.;[]
529;W. Härtel & Co. Nachf.;[]
530;Leipziger Gummier- & Lackier-Anstalt Schroeder & Co.;[]
531;Otto Friedlein;[]
532;Moritz Priem;['1073006093']
533;Paul Wust;[]
534;Emil Reimer;[]
535;Georg Wedekinds Verlag, Max Müller;[]
536;C. W. B. Naumburg;[]
537;Expedition des Allgemeinen Wahlzettel für den deutschen Buchhandel;[]
538;Alfred Müller Verlagsanstalt;[]
539;Maximilian Koeltz;[]
540;L. Fikentscher;[]
541;C. A. Haendel;[]
542;Bernard Köhler;[]
543;Hugo Dude;[]
544;Otto Hafemann;[]
545;Otto Hafemann;[]
546;P. Künne;[]
547;"Verlag ""Rolfana"" Maria von Stein";[]
548;Feyerabend Nachf.;[]
549;Martin Schilling;['3059857-6']
550;Buchdruckerei Emil Stephan;[]
551;M. Krug;[]
552;"Jakob Bohn, Buch- und Papierhandlung ""Westend""";[]
553;"Jacob Bohn, Buch- und Papierhandlung ""Westend""";[]
554;O. R. Reisland;[]
555;Felix, Arthur;[]
556;Chr. Herm. Tauchnitz, früher T. O. Weigel Nachf., Verlagsbuchhandlung;[]
557;G. Falk;[]
558;Friedrich Gröber;['1137518391']
559;Bähr & Co.;[]
560;Bähr & Co.;[]
561;Max Bröse;[]
562;Buch- und Akcidenzdruckerei Günther & Manicke G.m.b.H.;[]
563;Otto Benedict;[]
564;G. Hering;[]
565;Richard Wöpke;[]
566;Richard Wöpke;[]
567;Theodor Gerstenberg vorm. Rich. Sattler's Verlag;[]
568;G. Becker;[]
569;Felix Marschner;[]
570;Adolf Forker;[]
571;Adolf Forker;[]
572;Otto Engel;[]
573;Max Timaeus;[]
574;Emil Glausch;[]
575;Hugo Horn's Gravieranstalt u. Zinkographie;[]
576;Hugo Horn's Gravieranstalt u. Zinkographie;[]
577;Robert Köhler;[]
578;Karl P. Geuter;[]
579;Adolf Stieler;[]
580;Alfred Michaelis;['1072950405']
581;Martin Mehlhorn;[]
582;Carl Kobinger Nachf.;[]
583;Karl Vogel;[]
584;R. Hönisch;[]
585;Pfefferkorn & Däne;[]
586;Paul Schreckenberger;[]
587;Richard Hoier;[]
588;Emil Hugo Claußner Nachf.;[]
589;Schmidt & Spring, Jugendfreund-Verlag;[]
590;Justus Naumann;['1073068730', '107299805X', '1072957418']
591;Andr. Deichert'sche Verlagsbuchhandlung Nachf.;[]
592;C. Lüthke;[]
593;Emil Freter;[]
594;Theodor Oswald Weigel;['5010676-4', '1072981432']
595;Theodor Oswald Weigel;['5010676-4', '1072981432']
596;Oswald Weigel;['5165745-4', '5109304-2', '5010676-4', '1072981432']
597;S. Hirzel;['5332729-9', '2064562-4']
598;"Centralbuchhandlung ""Gabelsberger"" H. & L. Behrendorf";[]
599;Max Weg;['5108345-0']
600;Theod. Thomas;['1073020142']
601;Carl Scholtze;['1072909944']
602;Eduard Stieler;[]
603;Eduard Stieler;[]
604;Hermann Mendelssohn;['1072977370']
605;Edmund Stoll;['1072973324']
606;Hahn'sche Verlagsbuchhandlung;['6146565-3', '1072957701']
607;Ernst Rowohlt Verlag;['1042068356']
608;W. Drugulin;['4383414-0', '1072957256', '5260685-5', '2000107-1', '6017847-4']
609;W. Drugulin;['4383414-0', '1072957256', '5260685-5', '2000107-1', '6017847-4']
610;W. Drugulin;['4383414-0', '1072957256', '5260685-5', '2000107-1', '6017847-4']
611;Ferd. Riehm;['1073057534']
612;Bernhard Meyer;[]
613;Bernhard Meyer;[]
614;Heinrich Bredt;['1072954990']
615;Ernst Bredt;['1072980533']
616;Alldeutscher Verlag Dr. E. Bischoff;[]
617;J. F. L. Reitz;[]
618;Hermann Bähr;['1072937867']
619;G. Sternkopf, Geographisches Institut und Verlagshandlung;[]
620;G. Sternkopf, Geographisches Institut und Verlagshandlung;[]
621;"Verlag ""Nach Feierabend"" , Bernh. Meyer";[]
622;Richard Lipinski;[]
623;Dörffling & Franke;[]
624;Carl Pohst;['1073062295']
625;Carl Pohst;['1073062295']
626;Adolf F. Schlöffel;[]
627;Occultistischer Verlag A. F. Schöffel;[]
628;Floda's Verlag Adolf Schöffel;[]
629;Gebrüder Reinecke;['1069446823']
630;Oswald Kratzsch;[]
631;Albin Opitz;[]
632;Eduard Strauch;['1072983184']
633;Franz J. Söhnlein;[]
634;Paul Eberhardt;['1072977400']
635;Franz Wagner;['1072894491', '1028943520']
636;G. J. Göschen'sche Verlagshandlung, G.m.b.H.;[]
637;Literarisches Institut Kosmos, Max Herzig in Liqu.;[]
638;Richard Tauchnitz;[]
639;A. Schumann's Verlag;['1072858630']
640;R. Bredow;['1072940981']
641;Bibliographische Anstalt Adolph Schumann;['1073069893']
642;Oskar Leiner;['1072984059']
643;Oskar Leiner;['1072984059']
644;Oskar Leiner;['1072984059']
645;Oskar Leiner;['1072984059']
646;Oskar Leiner;['1072984059']
647;Oskar Leiner;['1072984059']
648;Oskar Leiner;['1072984059']
649;Oskar Leiner;['1072984059']
650;Oskar Leiner;['1072984059']
651;Oskar Leiner;['1072984059']
652;Musikbibliothek Peters;['37661-9']
653;Johannes Saupe;['1104524902']
654;Hermann Dege;['107290733X']
655;G. Reusche;['1047874660']
656;G. Reusche;['1047874660']
657;Voigt & Geißler;[]
658;Voigt & Geißler;[]
659;Voigt & Geißler;[]
660;Hammer-Verlag Th. Fritsch (Verlag Deutscher Müller);[]
661;Karl W. Hiersemann;[]
662;Bibliothek August Scherl G.m.b.H., Auslieferungsstelle;[]
663;Adreßbuch für Leipzig und Umgebung, Verlag von August Scherl Deutsche Adreßbuch-Gesellschaft m.b.H.;[]
664;Leipziger Adreßbuch, Verlag von August Scherl Deutsche Adreßbuch-Gesellschaft m.b.H.;[]
665;August Scherl, Deutsche Adreßbuch-Gesellschaft m.b.H., Verlag der Leipziger Adreßbücher;[]
666;E. G. Weimann;[]
667;A. G. Ploetz;[]
668;G. Hirth;['1073059243']
669;Akademische Buchhandlung R. Max Lippold;[]
670;Theodor Ackermann's Verlag;[]
671;Theodor Ackermann's Verlag;[]
672;Theodor Steinkopff;['2024151-3', '16300561-8']
673;C. Seifert, G.m.b.H.;[]
674;C. Seifert, G.m.b.H.;[]
675;Carl Sallmann Verlag;[]
676;Renaissance-Verlag Robert Federn;[]
677;A. Pichler's Wwe. & Sohn;[]
678;Georg Neuner Verlag;[]
679;Thomas Nelson & Sons;[]
680;Literarische Anstalt in Leipzig, Helene Schulze;[]
681;Großmann & Knöbel;[]
682;H. W. Theodor Dieter;[]
683;Union-Gesellschaft für Literatur und Kunst Brzitwa & Co.;[]
684;Ernst Heitmann;['1073065146', '1072982463']
685;Expedition des Briefmarken- Album, Ernst Heitmann;[]
686;Berta Wernicke;[]
687;O. Berkes;[]
688;Karl Lentze;[]
689;Karl Lindner;[]
690;R. Müller;['107293180X']
691;Carl Ziegenhirt;['1072948761']
692;Bernh. Friedr. Voigt;[]
693;Ed. Peter's Verlag;['1073002292']
694;Arno Knape;[]
